CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY (A),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAREER DEVELOPMENT CENTRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLACEMENTS 2024-25 BATCH (in Progress),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl.No.,Name of the Organization,Designation,Internship Stipend (Rs.P.M),"CTC
(Rs.In Lakhs)",Date of Results Announced,CSE,IT,CSE (AIML),AIML,AIDS,"CSE (IOT, CS&BCT)",ECE,EEE,MECH,CIVIL,CHEM,Bio- Tech,MCA,MTech/ CSE,MTech/ AIDS,"M.E/
Comm",ME / VLSI & ESVD,M.E/ PSPE,"M.E/
Cad/Cam",ME/ Thermal,ME/ Struc,MBA,TOTAL
54,Kalvium,"Academic Mentor
Development",20000,5.0,"13.12.2024 &
02.01.2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,2
55,Salesfoce,Software Engineer,70000,40.0,16.12.2024,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
56,Accelerize360,Software Engineer,,12.0,17.12.2024,0,0,0,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
57,Technip FMC,Associate Engineer,,7.7,17.12.2024,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
58,Metrics4 Analyst,Data Analyst,,5.8,26.12.2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
59,Biologix,"Project Support
Consultant",,3.0,28.12.2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
60,Cognizant,GenC Next Role,,6.8,03.01.2025,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1
61,ARMIET,Asst Professor (CSE),,6.6,06.01.2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,6
62,ARMIET,Asst Professor (ECE),,4.8,06.01.2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,2
63,Prodapt,Super Dream Role,,8.0,08.01.2025,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
64,Prodapt,Dream Role,,6.0,08.01.2025,3,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
65,Prodapt,ASE Role,,4.0,08.01.2025,3,4,0,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
66,EPAM,Data Science &Software Engineer Role,25000,8.0,09.01.2025,5,4,6,2,8,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
67,Qualcomm,Software Engineer,45000,18.7,09.01.2025,6,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
68,Dexterity Edtech Pvt Ltd,Business Development,18000,6.0,10.01.2025,3,7,1,2,1,1,5,10,7,2,2,1,2,NA,2,NA,1,1,NA,NA,NA,0,48
69,S&P Global,Software Engineer,,9.0,"15.01.2025 &
06.02.2025",2,1,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
70,Skill Dunia,Business Development Executive,25000,8.0,15.01.2025,4,3,0,0,3,3,8,5,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
71,Ninjacart (Apna),Graduate Trainee Operations,15000,7.0,15.01.2025,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
72,Insight Global (Evergreen),Software Engineer,30000,6.0,17.01.2025,2,2,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
73,Launched,Business Development Executive1,32000,9.0,17.01.2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,1
74,Launched,Business Development Executive2,28000,6.0,17.01.2025,0,1,2,1,2,0,4,6,5,4,0,5,0,0,0,0,0,0,0,0,NA,NA,30
